"Position", "Name", "Points", "Events", "Club", "Category"
"1", "Calum Nicholson", "960", "8", "Teamwallis CHH", "M"
"2", "Peter Greenwood", "949", "11", "Clayton Velo", "MV60"
"3", "Andrew Horrobin", "937", "11", "Lune Racing CC", "MV40"
"4", "Duncan Orme", "937", "11", "Vanilla Bikes Ltd", "MV40"
"5", "Chris Edmondson", "931", "9", "Blackburn CTC", "M"
"6", "Randle Shenton", "918", "10", "Team Swift", "MV50"
"7", "Colin Mckenna", "918", "8", "Lakes RC", "MV40"
"8", "Fraser Snape", "915", "8", "North Lancs RC", "MV40"
"9", "Dougi Hall", "901", "11", "Border City Wheelers CC", "MV40"
"10", "Paul Warrener", "890", "11", "Rossendale RC", "MV40"
"11", "Phil Shaw", "870", "8", "Lancaster CC", "MV40"
"12", "Derek Schofield", "869", "12", "Rossendale RC", "MV50"
"13", "Andy Ibberson", "850", "8", "Rossendale RC", "MV50"
"14", "Mike Westmorland", "844", "10", "Border City Wheelers CC", "MV60"
"15", "Richard Bickley", "827", "7", "Border City Wheelers CC", "M"
"16", "Adrian Dalgleish", "813", "7", "Lune Racing CC", "MV40"
"17", "Graham Putnam", "790", "7", "Border City Wheelers CC", "MV50"
"18", "Kevin Gibbons", "773", "8", "Border City Wheelers CC", "MV50"
"19", "Bill Smith", "755", "9", "Cleveleys RC", "MV60"
"20", "Peter Knott", "690", "8", "Ribble Valley CRC", "MV70"
"21", "Mike O'Shea", "688", "7", "Rossendale RC", "MV40"
"22", "Martin Tonge", "680", "6", "Rossendale RC", "MV40"
"23", "Duncan Park", "656", "6", "North Lancs RC", "MV40"
"24", "David Trotter", "623", "6", "Lancaster CC", "M"
"25", "Martin Wallis", "607", "6", "Teamwallis CHH", "M"
"26", "Paul Irons", "601", "6", "Border City Wheelers CC", "MV40"
"27", "Alex Forbes", "592", "6", "Border City Wheelers CC", "MV50"
"28", "Craig Horseman", "577", "5", "Border City Wheelers CC", "M"
"29", "David Tinker", "574", "7", "Clayton Velo", "MV50"
"30", "Neil Robinson", "564", "5", "Border City Wheelers CC", "M"
"31", "Rob Dickinson", "556", "5", "North Lancs RC", "MV40"
"32", "Daniel Warwick", "553", "5", "Teamwallis CHH", "M"
"33", "Stephen Jagger", "547", "5", "Border City Wheelers CC", "MV50"
"34", "Paul Taylor", "528", "5", "North Lancs RC", "MV40"
"35", "Paul King", "509", "5", "Border City Wheelers CC", "MV40"
"36", "Austin Foy", "500", "5", "North Lancs RC", "M"
"37", "Robert Dixon", "487", "5", "Border City Wheelers CC", "MV40"
"38", "Warren Gell", "475", "4", "CoverYourCar.co.uk", "M"
"39", "Paul Fleming", "471", "4", "Preston Wheelers", "MV40"
"40", "Richie Watts", "455", "5", "Rossendale RC", "MV40"
"41", "Mark Thomlinson", "447", "4", "Border City Wheelers CC", "MV40"
"42", "Mike Haugh", "445", "4", "Border City Wheelers CC", "MV40"
"43", "David Hargreaves", "427", "4", "North Lancs RC", "MV60"
"44", "William Belcher", "424", "4", "Clayton Velo", "MV50"
"45", "Stephan Boyd", "420", "4", "Border City Wheelers CC", "MV40"
"46", "Dave Cherry", "412", "4", "Border City Wheelers CC", "MV60"
"47", "Stuart Timmins", "411", "4", "North Lancs RC", "MV50"
"48", "Jason Craven", "410", "4", "Rossendale RC", "M"
"49", "Paul Kirk", "408", "4", "Seacroft Wheelers", "M"
"50", "Tim Bennett", "405", "4", "Kent Valley RC", "MV40"
"51", "Andrew Barlow", "401", "4", "Kent Valley RC", "MV50"
"52", "Andrew Drummond", "398", "4", "Border City Wheelers CC", "M"
"53", "Duncan Smith", "391", "4", "Cleveleys RC", "M"
"54", "Ian Wilcock", "378", "4", "Nelson Wheelers", "MV40"
"55", "John Morgan", "360", "3", "Preston Wheelers", "M"
"56", "Jonathon Knox", "345", "3", "Kent Valley RC", "JM"
"57", "Bob Murdoch", "342", "3", "Teesdale CRC", "MV50"
"58", "Danny Davies", "335", "4", "Pendle Forest", "MV60"
"59", "Leigh Cowell", "333", "3", "Ribble Valley CRC", "M"
"60", "Craig Holden", "330", "3", "Pendle Forest", "M"
"61", "Dave Rawle", "323", "3", "Border City Wheelers CC", "MV40"
"62", "Graeme Currie", "311", "3", "Border City Wheelers CC", "MV40"
"63", "Mick Black", "310", "3", "Cleveleys RC", "MV60"
"64", "Damian Ludlow", "309", "3", "Rossendale RC", "MV40"
"65", "Simon Lester", "306", "3", "Cleveleys RC", "MV60"
"66", "Kev Shand", "304", "3", "West Pennine Road Club", "MV60"
"67", "Andy Shaddock", "298", "3", "Border City Wheelers CC", "MV50"
"68", "Paul Boardman", "298", "3", "Barrow Central Wheelers", "M"
"69", "Peter Heywood", "295", "3", "Nelson Wheelers", "MV40"
"70", "Philip Bradshaw", "294", "3", "Wigan Wheelers CC", "MV40"
"71", "Ria Lowrie", "292", "3", "Border City Wheelers CC", "W"
"72", "Andy Warren", "291", "3", "Cleveleys RC", "M"
"73", "Carolyn Millican", "284", "3", "Border City Wheelers CC", "W"
"74", "Richard Durham", "279", "3", "Team Swift", "MV40"
"75", "Ron Valovin", "277", "3", "North Lancs RC", "MV60"
"76", "Barry Preston", "277", "3", "West Pennine Road Club", "MV40"
"77", "Susan Cheetham", "268", "3", "North Lancs RC", "WV40"
"78", "Christopher Thomas", "266", "3", "Rossendale RC", "MV40"
"79", "Jan Scotchford", "257", "3", "North Lancs RC", "WV40"
"80", "Jane Nolan", "250", "3", "Clitheroe Bike Club", "WV40"
"81", "David Ainsworth", "247", "3", "Clitheroe Bike Club", "MV50"
"82", "Craig Wilson", "246", "3", "Nelson Wheelers", "MV40"
"83", "Mark Reed", "235", "2", "Tyneside Vagabonds CC", "N/A"
"84", "Paul Shallicker", "234", "2", "CoverYourCar.co.uk", "MV40"
"85", "John O'Callaghan", "232", "2", "Barrow Central Wheelers", "MV40"
"86", "Paul Roby", "231", "2", "CoverYourCar.co.uk", "M"
"87", "Simon Phillips", "226", "2", "Pendle Forest", "MV50"
"88", "Martin Worner", "225", "2", "Teesdale CRC", "MV40"
"89", "Aidan Holgate", "222", "2", "North Lancs RC", "M"
"90", "Roger Clarke", "217", "2", "Tyneside Vagabonds CC", "MV40"
"91", "Andy Smith", "216", "2", "West Pennine Road Club", "MV40"
"92", "Richard Sagar", "214", "2", "North Lancs RC", "M"
"93", "Peter Danby", "205", "2", "Ribble Valley CRC", "MV40"
"94", "David Tomlinson", "202", "2", "North Lancs RC", "MV40"
"95", "Alun Brown", "201", "2", "Border City Wheelers CC", "M"
"96", "Michael Wood", "198", "2", "Clitheroe Bike Club", "MV40"
"97", "David J Shorrock", "197", "2", "Cleveleys RC", "MV60"
"98", "Brian Gore", "194", "2", "Lancashire RC", "MV60"
"99", "Kevin Crawley", "192", "2", "Border City Wheelers CC", "MV50"
"100", "Eamonn Quinn", "191", "2", "Lakes RC", "MV50"
"101", "Chris Smedley", "189", "2", "Nelson Wheelers", "M"
"102", "Colin Jaggard", "187", "2", "Border City Wheelers CC", "MV40"
"103", "Barry Rimmer", "187", "2", "Wigan Wheelers CC", "MV40"
"104", "Julian Monk", "186", "2", "Rossendale RC", "MV40"
"105", "Chris Irving", "185", "2", "Border City Wheelers CC", "MV50"
"106", "Earle Logan", "185", "2", "Lune Racing CC", "MV40"
"107", "Graham Harcourt", "181", "2", "Preston Wheelers", "MV40"
"108", "Alice Capstick", "181", "2", "North Lancs RC", "JM"
"109", "Chris Miller", "172", "2", "Clayton Velo", "MV50"
"110", "Phil Barnes", "171", "2", "Lancaster CC", "MV50"
"111", "David Baron", "160", "2", "Rossendale RC", "M"
"112", "Michael Ellerton", "120", "1", "Team Swift", "MV50"
"113", "Joel Wainman", "120", "1", "Team Swift", "N/A"
"114", "Ian Stott", "120", "1", "Blackburn CTC", "M"
"115", "Rob Wilkinson", "118", "1", "Oldham Century Road Club", "MV40"
"116", "Gary Tye", "118", "1", "Preston CC", "MV40"
"117", "Ian Cox", "118", "1", "North Lancs RC", "MV40"
"118", "Matt Stell", "117", "1", "Preston Wheelers", "M"
"119", "Carl Helliwell", "116", "1", "Blackburn CTC", "M"
"120", "David Ebbrell", "115", "1", "Preston CC", "M"
"121", "Mark Edwards", "115", "1", "Tyneside Vagabonds CC", "MV40"
"122", "Dean Mcgarry", "114", "1", "North Lancs RC", "MV40"
"123", "Russ Richardson", "114", "1", "Border City Wheelers CC", "MV50"
"124", "Luke Sollitt", "114", "1", "Preston Wheelers", "M"
"125", "Michael Smith", "114", "1", "Cleveleys RC", "MV40"
"126", "Graeme Gow", "114", "1", "Tyneside Vagabonds CC", "MV40"
"127", "Ian Kenworthy", "114", "1", "Oldham Century Road Club", "M"
"128", "Paul Ritson", "114", "1", "Border City Wheelers CC", "M"
"129", "Mark Flynn", "113", "1", "Oldham Century Road Club", "MV40"
"130", "David Brooks", "112", "1", "Preston Wheelers", "MV40"
"131", "Alan Macaulay", "112", "1", "Tyneside Vagabonds CC", "MV50"
"132", "James Knox", "112", "1", "Kent Valley RC", "JM"
"133", "Dave Ebbrell", "111", "1", "Blackburn CTC", "M"
"134", "Carlo Berton", "111", "1", "Border City Wheelers CC", "MV40"
"135", "Rob Hogarth", "111", "1", "Tyneside Vagabonds CC", "MV40"
"136", "James Potts", "110", "1", "Teesdale CRC", "N/A"
"137", "Tony Workman", "110", "1", "Lancashire RC", "M"
"138", "Ian Mclean", "110", "1", "Tyneside Vagabonds CC", "MV50"
"139", "Bob Holywell", "109", "1", "Tyneside Vagabonds CC", "MV60"
"140", "Paul Russell", "109", "1", "Cleveleys RC", "MV40"
"141", "Andy Gott", "109", "1", "West Pennine Road Club", "M"
"142", "Chris Dursley", "109", "1", "CoverYourCar.co.uk", "N/A"
"143", "Kyle Watts", "108", "1", "Tyneside Vagabonds CC", "JM"
"144", "Glenn Bowyer", "108", "1", "Lancashire RC", "MV50"
"145", "James Burns", "107", "1", "Tyneside Vagabonds CC", "N/A"
"146", "Rod Goodfellow", "106", "1", "North Lancs RC", "MV70"
"147", "Russell Hughes", "106", "1", "Tyneside Vagabonds CC", "MV40"
"148", "David Myerscough", "106", "1", "Preston CC", "MV40"
"149", "David Smith", "105", "1", "Border City Wheelers CC", "MV40"
"150", "Ritchie Case", "105", "1", "Tyneside Vagabonds CC", "MV40"
"151", "Simon Capstick", "104", "1", "North Lancs RC", "MV40"
"152", "Steven Rees", "104", "1", "Tyneside Vagabonds CC", "MV40"
"153", "Michael Cox", "104", "1", "North Lancs RC", "MV60"
"154", "Chris Heppell", "103", "1", "Tyneside Vagabonds CC", "MV40"
"155", "Chris Lee", "103", "1", "Clitheroe Bike Club", "M"
"156", "Christian Loney", "103", "1", "Rossendale RC", "M"
"157", "Martin Welsh", "103", "1", "Pendle Forest", "N/A"
"158", "Robert Rutherford", "103", "1", "West Pennine Road Club", "MV40"
"159", "John Clegg", "103", "1", "Ribble Valley CRC", "MV40"
"160", "Tim Wilcock", "102", "1", "Tyneside Vagabonds CC", "JM"
"161", "Gary Acton", "102", "1", "Cleveleys RC", "MV50"
"162", "Roy Flanagan", "102", "1", "Rossendale RC", "MV50"
"163", "Tony Darbyshire", "101", "1", "Wigan Wheelers CC", "M"
"164", "Neil Pope", "100", "1", "Lancashire RC", "M"
"165", "Peter Hey", "100", "1", "West Pennine Road Club", "M"
"166", "Keith Errington", "100", "1", "Tyneside Vagabonds CC", "MV40"
"167", "Ashley Clitheroe", "100", "1", "Teamwallis CHH", "JM"
"168", "Ian Duckworth", "99", "1", "Pendle Forest", "MV40"
"169", "Howard Cain", "99", "1", "Border City Wheelers CC", "N/A"
"170", "Austin Wilcock", "99", "1", "Tyneside Vagabonds CC", "MV50"
"171", "Brian Craven", "98", "1", "Tyneside Vagabonds CC", "MV40"
"172", "Martin Kerry", "98", "1", "Lancashire RC", "N/A"
"173", "Matt Gott", "97", "1", "West Pennine Road Club", "M"
"174", "Judith Irving", "97", "1", "Kent Valley RC", "N/A"
"175", "John Draper", "97", "1", "North Lancs RC", "MV70"
"176", "Danny Winthorpe", "96", "1", "Tyneside Vagabonds CC", "MV50"
"177", "Steve Wilkinson", "96", "1", "Nelson Wheelers", "MV40"
"178", "Richard Belk", "96", "1", "Kent Valley RC", "N/A"
"179", "Dave Forster", "96", "1", "Border City Wheelers CC", "MV50"
"180", "Adam Blakeley", "96", "1", "Pendle Forest", "M"
"181", "Luke Boulton", "96", "1", "Teamwallis CHH", "M"
"182", "John Griffiths", "95", "1", "Wigan Wheelers CC", "N/A"
"183", "Stan Riley", "95", "1", "North Lancs RC", "MV60"
"184", "Harry Haseley", "95", "1", "North Lancs RC", "MV70"
"185", "Dougie Haugh", "95", "1", "Border City Wheelers CC", "MV40"
"186", "John Hampson", "95", "1", "Preston CC", "MV50"
"187", "Denis Thompson", "94", "1", "West Pennine Road Club", "MV60"
"188", "Daniel Bolton", "93", "1", "Preston Wheelers", "M"
"189", "Robert Mitchell", "92", "1", "North Lancs RC", "MV60"
"190", "Jayne Butterworth", "92", "1", "Pendle Forest", "WV40"
"191", "Brian Moore", "92", "1", "Kent Valley RC", "MV50"
"192", "Joanne Briggs", "92", "1", "Border City Wheelers CC", "WV40"
"193", "Henry Hunter", "92", "1", "Teamwallis CHH", "JM"
"194", "Jordan Rigby", "91", "1", "Teamwallis CHH", "JM"
"195", "Michael Barlow", "90", "1", "Lancaster CC", "MV50"
"196", "Bernard Clayton", "90", "1", "Pendle Forest", "M"
"197", "Steven Horrocks", "89", "1", "Lancashire RC", "M"
"198", "Carol Westmorland", "89", "1", "Border City Wheelers CC", "W"
"199", "Patrick Hamilton", "89", "1", "Rossendale RC", "MV40"
"200", "Dave Horton", "89", "1", "Lancaster CC", "MV40"
"201", "Dave Higginson", "89", "1", "Nelson Wheelers", "N/A"
"202", "Nigel Clegg", "88", "1", "Border City Wheelers CC", "MV40"
"203", "Michael Shaw", "88", "1", "Wigan Wheelers CC", "N/A"
"204", "Charlotte Tompkins", "88", "1", "Ribble Valley CRC", "W"
"205", "Stephen Singleton", "87", "1", "Pendle Forest", "MV50"
"206", "Simon Myerscough", "87", "1", "Ribble Valley CRC", "MV40"
"207", "David Warren", "85", "1", "Ribble Valley CRC", "MV40"
"208", "Philip Davidson", "84", "1", "Ribble Valley CRC", "MV50"
"209", "Stephen Moorhouse", "83", "1", "Nelson Wheelers", "MV50"
"210", "Danny Banks", "81", "1", "Ribble Valley CRC", "MV40"
"211", "Ashley Preston", "80", "1", "Ribble Valley CRC", "MV40"
"212", "Harry Paige", "79", "1", "Clitheroe Bike Club", "JM"
"213", "Karl Mason", "77", "1", "Ribble Valley CRC", "MV40"
"214", "Neil Reynolds", "75", "1", "Clitheroe Bike Club", "MV40"
"215", "Gavin Beetham", "75", "1", "Ribble Valley CRC", "MV40"
"216", "Nicholas Cooper", "74", "1", "Rossendale RC", "JM"
"217", "Andrew Mullaney", "72", "1", "Cleveleys RC", "MV40"
