position,name,points,events,club,category
1, Calum Nicholson, 960, 8, Teamwallis CHH, M
2, Peter Greenwood, 949, 11, Clayton Velo, MV60
3, Andrew Horrobin, 937, 11, Lune Racing CC, MV40
4, Duncan Orme, 937, 11, Vanilla Bikes Ltd, MV40
5, Chris Edmondson, 931, 9, Blackburn CTC, M
6, Randle Shenton, 918, 10, Team Swift, MV50
7, Colin Mckenna, 918, 8, Lakes RC, MV40
8, Fraser Snape, 915, 8, North Lancs RC, MV40
9, Dougi Hall, 901, 11, Border City Wheelers CC, MV40
10, Paul Warrener, 890, 11, Rossendale RC, MV40
11, Phil Shaw, 870, 8, Lancaster CC, MV40
12, Derek Schofield, 869, 12, Rossendale RC, MV50
13, Andy Ibberson, 850, 8, Rossendale RC, MV50
14, Mike Westmorland, 844, 10, Border City Wheelers CC, MV60
15, Richard Bickley, 827, 7, Border City Wheelers CC, M
16, Adrian Dalgleish, 813, 7, Lune Racing CC, MV40
17, Graham Putnam, 790, 7, Border City Wheelers CC, MV50
18, Kevin Gibbons, 773, 8, Border City Wheelers CC, MV50
19, Bill Smith, 755, 9, Cleveleys RC, MV60
20, Peter Knott, 690, 8, Ribble Valley CRC, MV70
21, Mike OShea, 688, 7, Rossendale RC, MV40
22, Martin Tonge, 680, 6, Rossendale RC, MV40
23, Duncan Park, 656, 6, North Lancs RC, MV40
24, David Trotter, 623, 6, Lancaster CC, M
25, Martin Wallis, 607, 6, Teamwallis CHH, M
26, Paul Irons, 601, 6, Border City Wheelers CC, MV40
27, Alex Forbes, 592, 6, Border City Wheelers CC, MV50
28, Craig Horseman, 577, 5, Border City Wheelers CC, M
29, David Tinker, 574, 7, Clayton Velo, MV50
30, Neil Robinson, 564, 5, Border City Wheelers CC, M
31, Rob Dickinson, 556, 5, North Lancs RC, MV40
32, Daniel Warwick, 553, 5, Teamwallis CHH, M
33, Stephen Jagger, 547, 5, Border City Wheelers CC, MV50
34, Paul Taylor, 528, 5, North Lancs RC, MV40
35, Paul King, 509, 5, Border City Wheelers CC, MV40
36, Austin Foy, 500, 5, North Lancs RC, M
37, Robert Dixon, 487, 5, Border City Wheelers CC, MV40
38, Warren Gell, 475, 4, CoverYourCar.co.uk, M
39, Paul Fleming, 471, 4, Preston Wheelers, MV40
40, Richie Watts, 455, 5, Rossendale RC, MV40
41, Mark Thomlinson, 447, 4, Border City Wheelers CC, MV40
42, Mike Haugh, 445, 4, Border City Wheelers CC, MV40
43, David Hargreaves, 427, 4, North Lancs RC, MV60
44, William Belcher, 424, 4, Clayton Velo, MV50
45, Stephan Boyd, 420, 4, Border City Wheelers CC, MV40
46, Dave Cherry, 412, 4, Border City Wheelers CC, MV60
47, Stuart Timmins, 411, 4, North Lancs RC, MV50
48, Jason Craven, 410, 4, Rossendale RC, M
49, Paul Kirk, 408, 4, Seacroft Wheelers, M
50, Tim Bennett, 405, 4, Kent Valley RC, MV40
51, Andrew Barlow, 401, 4, Kent Valley RC, MV50
52, Andrew Drummond, 398, 4, Border City Wheelers CC, M
53, Duncan Smith, 391, 4, Cleveleys RC, M
54, Ian Wilcock, 378, 4, Nelson Wheelers, MV40
55, John Morgan, 360, 3, Preston Wheelers, M
56, Jonathon Knox, 345, 3, Kent Valley RC, JM
57, Bob Murdoch, 342, 3, Teesdale CRC, MV50
58, Danny Davies, 335, 4, Pendle Forest, MV60
59, Leigh Cowell, 333, 3, Ribble Valley CRC, M
60, Craig Holden, 330, 3, Pendle Forest, M
61, Dave Rawle, 323, 3, Border City Wheelers CC, MV40
62, Graeme Currie, 311, 3, Border City Wheelers CC, MV40
63, Mick Black, 310, 3, Cleveleys RC, MV60
64, Damian Ludlow, 309, 3, Rossendale RC, MV40
65, Simon Lester, 306, 3, Cleveleys RC, MV60
66, Kev Shand, 304, 3, West Pennine Road Club, MV60
67, Andy Shaddock, 298, 3, Border City Wheelers CC, MV50
68, Paul Boardman, 298, 3, Barrow Central Wheelers, M
69, Peter Heywood, 295, 3, Nelson Wheelers, MV40
70, Philip Bradshaw, 294, 3, Wigan Wheelers CC, MV40
71, Ria Lowrie, 292, 3, Border City Wheelers CC, W
72, Andy Warren, 291, 3, Cleveleys RC, M
73, Carolyn Millican, 284, 3, Border City Wheelers CC, W
74, Richard Durham, 279, 3, Team Swift, MV40
75, Ron Valovin, 277, 3, North Lancs RC, MV60
76, Barry Preston, 277, 3, West Pennine Road Club, MV40
77, Susan Cheetham, 268, 3, North Lancs RC, WV40
78, Christopher Thomas, 266, 3, Rossendale RC, MV40
79, Jan Scotchford, 257, 3, North Lancs RC, WV40
80, Jane Nolan, 250, 3, Clitheroe Bike Club, WV40
81, David Ainsworth, 247, 3, Clitheroe Bike Club, MV50
82, Craig Wilson, 246, 3, Nelson Wheelers, MV40
83, Mark Reed, 235, 2, Tyneside Vagabonds CC, N/A
84, Paul Shallicker, 234, 2, CoverYourCar.co.uk, MV40
85, John OCallaghan, 232, 2, Barrow Central Wheelers, MV40
86, Paul Roby, 231, 2, CoverYourCar.co.uk, M
87, Simon Phillips, 226, 2, Pendle Forest, MV50
88, Martin Worner, 225, 2, Teesdale CRC, MV40
89, Aidan Holgate, 222, 2, North Lancs RC, M
90, Roger Clarke, 217, 2, Tyneside Vagabonds CC, MV40
91, Andy Smith, 216, 2, West Pennine Road Club, MV40
92, Richard Sagar, 214, 2, North Lancs RC, M
93, Peter Danby, 205, 2, Ribble Valley CRC, MV40
94, David Tomlinson, 202, 2, North Lancs RC, MV40
95, Alun Brown, 201, 2, Border City Wheelers CC, M
96, Michael Wood, 198, 2, Clitheroe Bike Club, MV40
97, David J Shorrock, 197, 2, Cleveleys RC, MV60
98, Brian Gore, 194, 2, Lancashire RC, MV60
99, Kevin Crawley, 192, 2, Border City Wheelers CC, MV50
100, Eamonn Quinn, 191, 2, Lakes RC, MV50
101, Chris Smedley, 189, 2, Nelson Wheelers, M
102, Colin Jaggard, 187, 2, Border City Wheelers CC, MV40
103, Barry Rimmer, 187, 2, Wigan Wheelers CC, MV40
104, Julian Monk, 186, 2, Rossendale RC, MV40
105, Chris Irving, 185, 2, Border City Wheelers CC, MV50
106, Earle Logan, 185, 2, Lune Racing CC, MV40
107, Graham Harcourt, 181, 2, Preston Wheelers, MV40
108, Alice Capstick, 181, 2, North Lancs RC, JM
109, Chris Miller, 172, 2, Clayton Velo, MV50
110, Phil Barnes, 171, 2, Lancaster CC, MV50
111, David Baron, 160, 2, Rossendale RC, M
112, Michael Ellerton, 120, 1, Team Swift, MV50
113, Joel Wainman, 120, 1, Team Swift, N/A
114, Ian Stott, 120, 1, Blackburn CTC, M
115, Rob Wilkinson, 118, 1, Oldham Century Road Club, MV40
116, Gary Tye, 118, 1, Preston CC, MV40
117, Ian Cox, 118, 1, North Lancs RC, MV40
118, Matt Stell, 117, 1, Preston Wheelers, M
119, Carl Helliwell, 116, 1, Blackburn CTC, M
